date;PBAR;PP;TEMP;HR;ws;wd;SO2_1h_ppb;SO2_1h_ugm3;SO2_m3h_ugm3
2018-01-01 00:00:00 UTC;;;;;;;;;
2018-01-01 01:00:00 UTC;490.7;0.2;3.8;79.7;1;263.5;16.5;43.1;
2018-01-01 02:00:00 UTC;490.3;0;4;78.1;0.7;275.1;48.3;126.4;
2018-01-01 03:00:00 UTC;490;0.5;3.9;79.9;0.8;270.4;32.2;84.4;84.6
2018-01-01 04:00:00 UTC;489.8;0;4.1;79.3;0.9;266;4.9;12.7;74.5
2018-01-01 05:00:00 UTC;489.8;0;4.4;77.1;0.5;274.4;5.2;13.6;36.9
2018-01-01 06:00:00 UTC;490;0;4.6;76.8;0.7;270.9;13;34;20.1
2018-01-01 07:00:00 UTC;490.3;0;4.9;75.4;0.6;272.9;14.7;38.6;28.7
2018-01-01 08:00:00 UTC;490.6;0;5.8;71.9;0.3;240.5;453.3;1186.6;419.7
2018-01-01 09:00:00 UTC;490.9;0;7.3;65;0.6;159;522.8;1368.7;864.6
2018-01-01 10:00:00 UTC;490.9;0;9.9;54;0.8;167.2;511.8;1339.9;1298.4
2018-01-01 11:00:00 UTC;490.6;0;10.1;54.2;1;91.4;106.8;279.6;996.1
2018-01-01 12:00:00 UTC;490.3;0;10.6;57.7;0.8;136.9;106.4;278.6;632.7
2018-01-01 13:00:00 UTC;489.6;0;13;48.1;0.7;250.1;113;295.7;284.6
2018-01-01 14:00:00 UTC;489.1;0.7;13.3;47;1.7;64.2;9.4;24.7;199.7
2018-01-01 15:00:00 UTC;488.9;0;11.6;56;2;74.7;5.1;13.2;111.2
2018-01-01 16:00:00 UTC;488.7;0;11.1;54.4;2.2;64.8;4.1;10.6;16.2
2018-01-01 17:00:00 UTC;488.6;0;11.5;53.1;1.4;313.1;23.2;60.8;28.2
2018-01-01 18:00:00 UTC;488.7;0;10.9;54.8;1.2;275.5;18;47.2;39.5
2018-01-01 19:00:00 UTC;488.9;0;10.1;62.3;1.4;204.2;190.9;499.7;202.6
2018-01-01 20:00:00 UTC;489.2;0;9.5;63.7;0.5;207;36.4;95.3;214.1
2018-01-01 21:00:00 UTC;489.9;0;8.8;66.8;0.4;185.8;74.7;195.6;263.5
2018-01-01 22:00:00 UTC;490.4;0;8.7;67.3;0.4;158.7;57.4;150.4;147.1
2018-01-01 23:00:00 UTC;490.6;0;8.4;66.9;0.5;146.4;17.3;45.2;130.4
2018-01-02 00:00:00 UTC;490.6;0;8;69.1;0.4;101.9;15.3;40.2;78.6
2018-01-02 01:00:00 UTC;490.3;0;7.8;64.9;0.3;194.6;20.5;53.6;46.3
2018-01-02 02:00:00 UTC;489.8;0;7.5;61.3;0.7;254.7;6.1;16;36.6
2018-01-02 03:00:00 UTC;489.5;0;7.1;61.2;0.9;274.8;4.7;12.2;27.3
2018-01-02 04:00:00 UTC;489.2;0;7;60.8;1;267.1;4.4;11.6;13.3
2018-01-02 05:00:00 UTC;489.1;0;6.9;60.3;0.5;276.8;10.6;27.8;17.2
2018-01-02 06:00:00 UTC;489.4;0;6.9;61.4;0.7;273.6;7.6;19.8;19.7
2018-01-02 07:00:00 UTC;489.7;0;7.2;61.2;0.6;280.2;39.8;104.3;50.6
2018-01-02 08:00:00 UTC;490;0;8.1;58.3;0.4;275.9;382.3;1000.9;375
2018-01-02 09:00:00 UTC;490.2;0;9.8;50.8;0.5;167.5;363.3;951;685.4
