date;SO2_24h_ppb;SO2_24h_ugm3
1/01/2018;100;261.9
2/01/2018;55;144.2
3/01/2018;55.5;145.5
4/01/2018;25;65.4
5/01/2018;17.2;45.1
6/01/2018;36.2;94.8
7/01/2018;82.3;215.5
8/01/2018;30.2;79
9/01/2018;50.7;132.9
10/01/2018;25.4;66.6
11/01/2018;5.2;13.6
12/01/2018;34;89.2
13/01/2018;46;120.5
14/01/2018;33.7;88.2
15/01/2018;32.1;84.1
16/01/2018;18.7;49
17/01/2018;67.5;176.8
18/01/2018;36.4;95.3
19/01/2018;28.7;75.3
20/01/2018;6.9;18
21/01/2018;3.8;9.9
22/01/2018;23.1;60.5
23/01/2018;4.5;11.7
24/01/2018;65.2;170.7
25/01/2018;24.1;63.1
26/01/2018;26.3;69
27/01/2018;55.3;144.9
28/01/2018;32.3;84.7
29/01/2018;10.2;26.6
30/01/2018;42.7;112
31/01/2018;11.5;30.2
1/02/2018;11;28.8
2/02/2018;38.2;100.1
3/02/2018;60.7;159.1
4/02/2018;34;89.2
5/02/2018;86.8;227.3
6/02/2018;3.2;8.5
7/02/2018;10.3;27
8/02/2018;58.5;153.4
9/02/2018;67.7;177.3
10/02/2018;27.1;70.9
11/02/2018;41.8;109.5
12/02/2018;32.9;86.2
13/02/2018;68.8;180.2
14/02/2018;89.6;234.7
15/02/2018;34.5;90.5
16/02/2018;5.3;13.9
17/02/2018;93.6;245.2
18/02/2018;33.5;87.7
19/02/2018;103.2;270.3
20/02/2018;74.1;194.2
21/02/2018;72.6;190.1
22/02/2018;36.8;96.4
23/02/2018;32.5;85.1
24/02/2018;27.4;71.8
25/02/2018;28.7;75.1
26/02/2018;18;47.2
27/02/2018;51.7;135.4
28/02/2018;44.5;116.6
1/03/2018;44.9;117.6
2/03/2018;25.3;66.2
3/03/2018;23;60.2
4/03/2018;5.7;14.9
5/03/2018;21.6;56.5
6/03/2018;25.5;66.7
7/03/2018;5;13.2
8/03/2018;62.3;163.1
9/03/2018;20.1;52.6
10/03/2018;23.2;60.9
11/03/2018;26.3;68.8
12/03/2018;27.5;72
13/03/2018;16;41.8
14/03/2018;34.5;90.3
15/03/2018;62.3;163.1
16/03/2018;5.2;13.5
17/03/2018;44.5;116.5
18/03/2018;55.3;144.8
19/03/2018;9.5;25
20/03/2018;35.8;93.8
21/03/2018;7.4;19.5
22/03/2018;67;175.5
23/03/2018;114.7;300.5
24/03/2018;71;186
25/03/2018;59.1;154.9
26/03/2018;15.5;40.6
27/03/2018;87.3;228.6
28/03/2018;37.6;98.5
29/03/2018;32.6;85.5
30/03/2018;24.8;65.1
31/03/2018;11.5;30.1
1/04/2018;31.1;81.5
2/04/2018;73.2;191.9
3/04/2018;117.6;308
4/04/2018;55.6;145.8
5/04/2018;63.9;167.5
6/04/2018;13.9;36.5
7/04/2018;26.4;69.1
8/04/2018;32;83.9
9/04/2018;45.6;119.4
10/04/2018;47.5;124.4
11/04/2018;52.1;136.4
12/04/2018;25.7;67.3
13/04/2018;24.6;64.5
14/04/2018;41.3;108.2
15/04/2018;32.7;85.8
16/04/2018;36.2;94.9
17/04/2018;14.6;38.2
18/04/2018;25.2;65.9
19/04/2018;34.6;90.7
20/04/2018;43.3;113.5
21/04/2018;34;89.1
22/04/2018;16.8;44
23/04/2018;47.5;124.5
24/04/2018;44.6;116.8
25/04/2018;8.4;22.1
26/04/2018;26;68.1
27/04/2018;34.8;91.2
28/04/2018;62.6;164
29/04/2018;52.3;137
30/04/2018;32.7;85.6
1/05/2018;6.4;16.7
2/05/2018;72.2;189.2
3/05/2018;49.5;129.6
4/05/2018;40.3;105.5
5/05/2018;64.2;168.1
6/05/2018;29;76
7/05/2018;21.8;57.2
8/05/2018;5.2;13.5
9/05/2018;63.4;166
10/05/2018;56.1;146.9
11/05/2018;36.6;96
12/05/2018;53.7;140.8
13/05/2018;47.3;124
14/05/2018;4.4;11.6
15/05/2018;;
16/05/2018;;
17/05/2018;;
18/05/2018;;
19/05/2018;;
20/05/2018;;
21/05/2018;;
22/05/2018;;
23/05/2018;;
24/05/2018;;
25/05/2018;;
26/05/2018;4.3;11.3
27/05/2018;4.2;11
28/05/2018;4.1;10.8
29/05/2018;4.2;11
30/05/2018;4.2;10.9
31/05/2018;4.2;11
1/06/2018;4.2;11
2/06/2018;4.2;11
3/06/2018;4.2;10.9
4/06/2018;4.4;11.5
5/06/2018;4.2;11
6/06/2018;4.3;11.2
7/06/2018;5.5;14.4
8/06/2018;4.3;11.3
9/06/2018;4.3;11.2
10/06/2018;4.2;11
11/06/2018;4.2;11
12/06/2018;4.3;11.3
13/06/2018;4.1;10.8
14/06/2018;4.1;10.8
15/06/2018;4.5;11.8
16/06/2018;4.1;10.8
17/06/2018;4;10.6
18/06/2018;4.1;10.8
19/06/2018;4.4;11.6
20/06/2018;4.7;12.3
21/06/2018;7.1;18.6
22/06/2018;6.5;16.9
23/06/2018;22.2;58.2
24/06/2018;11.1;29.1
25/06/2018;46.2;121.1
26/06/2018;52.3;136.9
27/06/2018;7.5;19.6
28/06/2018;12.7;33.2
29/06/2018;7.9;20.8
30/06/2018;11.4;29.8
1/07/2018;11;28.8
2/07/2018;18.8;49.2
3/07/2018;7.1;18.5
4/07/2018;29;75.9
5/07/2018;15.2;39.8
6/07/2018;31.2;81.5
7/07/2018;34.7;65.6
8/07/2018;58.1;165.6
9/07/2018;12.4;35.3
10/07/2018;41.8;102.9
11/07/2018;7.6;19.5
12/07/2018;6.7;17.4
13/07/2018;4.3;11.2
14/07/2018;18.6;48.8
15/07/2018;4.4;11.6
16/07/2018;25.6;66.9
17/07/2018;6.7;17.6
18/07/2018;57.5;15.6
19/07/2018;17.2;45
20/07/2018;5.8;15.2
21/07/2018;33.5;87.2
22/07/2018;19.2;49.6
23/07/2018;18.7;47.9
24/07/2018;15.4;40.3
25/07/2018;16.7;43.7
26/07/2018;19.2;50.3
27/07/2018;37.4;98
28/07/2018;33.8;88.4
29/07/2018;24.7;64.6
30/07/2018;50;126.6
31/07/2018;9.8;25.5
1/08/2018;13.8;36.1
2/08/2018;16.9;44.4
3/08/2018;108.1;283.3
4/08/2018;16.1;42.1
5/08/2018;16.2;42.5
6/08/2018;7.9;20.7
7/08/2018;71;186.1
8/08/2018;22.1;57.9
9/08/2018;85.3;223.4
10/08/2018;53.6;140.5
11/08/2018;8.5;22.2
12/08/2018;10.2;26.6
13/08/2018;18.1;47.3
14/08/2018;;
15/08/2018;19.8;51.9
16/08/2018;4.9;12.9
17/08/2018;14.2;37.1
18/08/2018;5.7;15
19/08/2018;5.1;13.4
20/08/2018;14.9;39
21/08/2018;6.1;15.9
22/08/2018;21.9;57.5
23/08/2018;7.1;18.7
24/08/2018;32;83.9
25/08/2018;8.4;22
26/08/2018;37;96.9
27/08/2018;4.8;12.6
28/08/2018;6;15.6
29/08/2018;7.3;19.2
30/08/2018;6.2;16.2
31/08/2018;6.8;17.7
1/09/2018;6.5;17
2/09/2018;19.4;50.8
3/09/2018;43.9;115
4/09/2018;50;131.1
5/09/2018;40;104.7
6/09/2018;52;136.3
7/09/2018;10.5;27.5
8/09/2018;9;23.7
9/09/2018;8.3;21.7
10/09/2018;75;196.6
11/09/2018;5.6;14.8
12/09/2018;26.2;68.6
13/09/2018;50.9;133.3
14/09/2018;43.6;114.2
15/09/2018;32;83.8
16/09/2018;8.8;23.1
17/09/2018;26.2;68.7
18/09/2018;58.4;153
19/09/2018;77.6;203.4
20/09/2018;23.5;61.7
21/09/2018;23.2;60.9
22/09/2018;61.3;160.7
23/09/2018;48.6;127.2
24/09/2018;64.5;169
25/09/2018;51.8;135.7
26/09/2018;15.3;40.1
27/09/2018;40.8;106.9
28/09/2018;24;62.8
29/09/2018;55.2;144.6
30/09/2018;62.4;163.5
1/10/2018;39.7;104
2/10/2018;44.5;116.6
3/10/2018;4.4;11.5
4/10/2018;16.2;42.4
5/10/2018;4;10.5
6/10/2018;8.1;21.2
7/10/2018;5.1;13.4
8/10/2018;6.1;16
9/10/2018;7.5;19.7
10/10/2018;41.6;109
11/10/2018;41.2;107.9
12/10/2018;43.1;112.9
13/10/2018;78;204.4
14/10/2018;77.6;203.3
15/10/2018;103.4;270.9
16/10/2018;100;262
17/10/2018;41.1;107.7
18/10/2018;59.6;156.2
19/10/2018;60.9;159.6
20/10/2018;29.5;77.3
21/10/2018;42.7;111.9
22/10/2018;33.9;88.8
23/10/2018;75.8;198.6
24/10/2018;16.3;42.7
25/10/2018;14.5;38
26/10/2018;103.7;271.7
27/10/2018;28.3;74.1
28/10/2018;16.4;43
29/10/2018;21.3;55.8
30/10/2018;55.8;146.2
31/10/2018;88.4;231.6
1/11/2018;58.6;153.6
2/11/2018;86.7;227.1
3/11/2018;85.8;224.9
4/11/2018;42.6;111.6
5/11/2018;;
6/11/2018;;
7/11/2018;;
8/11/2018;;
9/11/2018;;
10/11/2018;;
11/11/2018;69.3;181.6
12/11/2018;37.2;97.3
13/11/2018;40.2;105.4
14/11/2018;39;102.1
15/11/2018;93.4;244.7
16/11/2018;72.4;189.8
17/11/2018;92.9;243.5
18/11/2018;;
19/11/2018;;
20/11/2018;3.7;9.8
21/11/2018;3.7;9.8
22/11/2018;4.1;10.8
23/11/2018;3.9;10.3
24/11/2018;3.5;9.2
25/11/2018;3.9;10.2
26/11/2018;4.1;10.6
27/11/2018;3.8;9.9
28/11/2018;4.2;11
29/11/2018;7.4;19.5
30/11/2018;9;23.6
1/12/2018;10.8;28.4
2/12/2018;15.8;41.5
3/12/2018;15.5;40.5
4/12/2018;18.6;48.8
5/12/2018;14.2;37.1
6/12/2018;7.6;19.9
7/12/2018;9.7;25.3
8/12/2018;6.5;17.5
9/12/2018;8.6;22.4
10/12/2018;11.9;30.8
11/12/2018;6.6;17.2
12/12/2018;11.9;31.3
13/12/2018;5.8;15.4
14/12/2018;13.4;35.1
15/12/2018;11.3;29.5
16/12/2018;8.4;22.1
17/12/2018;9.2;24.1
18/12/2018;20.2;52.9
19/12/2018;13.6;35.7
20/12/2018;16.6;43.4
21/12/2018;21.4;56
22/12/2018;39;102.3
23/12/2018;7.1;18.5
24/12/2018;8.1;21.3
25/12/2018;4.8;12.7
26/12/2018;10.5;27.5
27/12/2018;17.3;45.2
28/12/2018;8.5;22.3
29/12/2018;15.1;39.5
30/12/2018;24.5;64.2
31/12/2018;15.8;41.3
1/01/2019;14.5;38.1
2/01/2019;6.3;16.4
3/01/2019;9.7;25.4
4/01/2019;7.9;20.6
5/01/2019;18.4;48.2
6/01/2019;18.1;47.4
7/01/2019;6.3;16.5
8/01/2019;7.1;18.7
9/01/2019;21.5;56.4
10/01/2019;5.7;14.9
11/01/2019;;
12/01/2019;;
13/01/2019;;
14/01/2019;;
15/01/2019;;
16/01/2019;;
17/01/2019;;
18/01/2019;;
19/01/2019;13.5;35.4
20/01/2019;29.6;77.6
21/01/2019;37.5;98.2
22/01/2019;13.4;35.1
23/01/2019;29.1;76.2
24/01/2019;10.5;27.5
25/01/2019;51.2;134.2
26/01/2019;50.5;132.2
27/01/2019;59.5;155.9
28/01/2019;31.5;82.6
29/01/2019;22.7;59.6
30/01/2019;63.2;165.6
31/01/2019;31;81.3
1/02/2019;38.3;100.3
2/02/2019;21;55
3/02/2019;17.6;46
4/02/2019;19.2;50.4
5/02/2019;5.1;13.3
6/02/2019;32.9;86.1
7/02/2019;66.4;173.9
8/02/2019;12.5;32.9
9/02/2019;16.9;44.3
10/02/2019;31;81.1
11/02/2019;20;52.5
12/02/2019;23;60.1
13/02/2019;37.6;98.6
14/02/2019;;
15/02/2019;12.3;32.3
16/02/2019;17;44.7
17/02/2019;6.8;17.9
18/02/2019;47.8;125.2
19/02/2019;12.8;33.7
20/02/2019;17.3;45.4
21/02/2019;16.1;42.3
22/02/2019;15.5;40.6
23/02/2019;18.5;48.6
24/02/2019;14.4;37.8
25/02/2019;19.3;50.5
26/02/2019;10.6;27.7
27/02/2019;8.8;23.2
28/02/2019;28.8;75.5
1/03/2019;37.6;98.4
2/03/2019;20.2;52.9
3/03/2019;8.2;21.4
4/03/2019;22.4;58.8
5/03/2019;21.7;56.8
6/03/2019;17.4;45.7
7/03/2019;22.5;58.9
8/03/2019;6;15.7
9/03/2019;18.9;49.4
10/03/2019;5.8;15.2
11/03/2019;17.7;46.5
12/03/2019;9.6;25.2
13/03/2019;8;21
14/03/2019;7.8;20.4
15/03/2019;15;39.3
16/03/2019;20.2;53
17/03/2019;11.2;29.4
18/03/2019;12.9;33.7
19/03/2019;23.7;62.2
20/03/2019;6.2;16.3
21/03/2019;13.8;36.1
22/03/2019;24.6;64.5
23/03/2019;37.7;98.7
24/03/2019;;
25/03/2019;8.2;21.4
26/03/2019;9.3;24.3
27/03/2019;5.6;14.8
28/03/2019;4.2;11.1
29/03/2019;3.9;10.2
30/03/2019;8.6;22.6
31/03/2019;17.2;45.1
1/04/2019;7.7;20.3
2/04/2019;9.6;25.1
3/04/2019;14;36.7
4/04/2019;9.8;25.6
5/04/2019;10.2;26.7
6/04/2019;10.1;26.4
7/04/2019;14.7;38.5
8/04/2019;17.9;46.9
9/04/2019;19.5;51.2
10/04/2019;16.7;43.8
11/04/2019;6.5;17.1
12/04/2019;8.7;22.7
13/04/2019;12.1;31.6
14/04/2019;18;47
15/04/2019;6.7;17.7
16/04/2019;28;73.4
17/04/2019;20;52.5
18/04/2019;17.8;46.7
19/04/2019;19.2;50.4
20/04/2019;26.4;69.2
21/04/2019;20.4;53.6
22/04/2019;15.5;40.5
23/04/2019;6;15.8
24/04/2019;4.4;11.5
25/04/2019;3.8;9.9
26/04/2019;17.1;44.7
27/04/2019;22.9;59.9
28/04/2019;31.7;83
29/04/2019;12.2;31.9
30/04/2019;10.7;28
1/05/2019;13.8;36.2
2/05/2019;7.9;20.8
3/05/2019;5.8;15.3
4/05/2019;10;26.2
5/05/2019;7.8;20.5
6/05/2019;4.1;10.7
7/05/2019;7.3;19.2
8/05/2019;9.3;24.3
9/05/2019;7.7;20
10/05/2019;12;31.5
11/05/2019;5.7;14.9
12/05/2019;5.2;13.6
13/05/2019;11.5;30
14/05/2019;;
15/05/2019;;
16/05/2019;;
17/05/2019;;
18/05/2019;;
19/05/2019;45.1;118.2
20/05/2019;25.2;66
21/05/2019;22.2;58.2
22/05/2019;65.5;171.6
23/05/2019;32.6;85.5
24/05/2019;9.9;25.9
25/05/2019;7.8;20.4
26/05/2019;28.4;74.4
27/05/2019;;
28/05/2019;7.5;19.6
29/05/2019;7.5;19.6
30/05/2019;5.3;13.8
31/05/2019;;
1/06/2019;19;49.9
2/06/2019;4.4;11.5
3/06/2019;10.9;28.6
4/06/2019;28.1;73.7
5/06/2019;19.5;51
6/06/2019;49.3;129.3
7/06/2019;50.4;132
8/06/2019;19.4;50.7
9/06/2019;4.8;12.6
10/06/2019;69.5;182.1
11/06/2019;10.7;28
12/06/2019;20.2;52.8
13/06/2019;7.5;19.7
14/06/2019;26.1;68.3
15/06/2019;41;107.4
16/06/2019;47.1;123.5
17/06/2019;3.7;9.8
18/06/2019;3.4;9
19/06/2019;3.3;8.7
20/06/2019;3.4;8.9
21/06/2019;3.5;9.2
22/06/2019;3.4;8.8
23/06/2019;3.4;8.8
24/06/2019;3.4;9
25/06/2019;3.4;8.9
26/06/2019;3.4;9
27/06/2019;3.4;8.8
28/06/2019;3.6;9.4
29/06/2019;10.2;26.6
30/06/2019;3.6;9.4
1/07/2019;3.4;9
2/07/2019;4.1;10.6
3/07/2019;7.8;20.4
4/07/2019;11;28.7
5/07/2019;39.3;102.9
6/07/2019;19.8;51.8
7/07/2019;55.9;146.4
8/07/2019;14.7;38.6
9/07/2019;20.3;53.3
10/07/2019;28.9;75.8
11/07/2019;11.2;29.3
12/07/2019;17.7;46.3
13/07/2019;14.9;39
14/07/2019;3.8;9.9
15/07/2019;5.5;14.4
16/07/2019;9.8;25.6
17/07/2019;11.8;30.9
18/07/2019;24.9;65.1
19/07/2019;4.3;11.3
20/07/2019;16.8;44
21/07/2019;14.3;37.5
22/07/2019;24.6;64.5
23/07/2019;49.9;130.6
24/07/2019;10.1;26.6
25/07/2019;52.9;138.6
26/07/2019;9.3;24.3
27/07/2019;11.7;30.5
28/07/2019;18.2;47.6
29/07/2019;19.6;51.4
30/07/2019;7.1;18.5
31/07/2019;20.3;53.2
1/08/2019;21.1;55.3
2/08/2019;14.5;37.9
3/08/2019;25.3;66.2
4/08/2019;20.4;53.4
5/08/2019;27.5;72.1
6/08/2019;20.1;52.8
7/08/2019;12.9;33.7
8/08/2019;11.1;29
9/08/2019;13.5;35.3
10/08/2019;7.9;20.7
11/08/2019;4.4;11.5
12/08/2019;14.6;38.3
13/08/2019;8;21
14/08/2019;5.7;14.8
15/08/2019;13.3;34.9
16/08/2019;25.8;67.6
17/08/2019;17.6;46
18/08/2019;21.7;56.8
19/08/2019;17.5;46
20/08/2019;8.5;22.2
21/08/2019;3.7;9.6
22/08/2019;40.2;105.4
23/08/2019;35.9;94.1
24/08/2019;29;76
25/08/2019;6.7;17.5
26/08/2019;26.7;69.8
27/08/2019;30;78.5
28/08/2019;11.3;29.7
29/08/2019;64.1;168
30/08/2019;31.1;81.4
31/08/2019;13.4;35.2
1/09/2019;18.1;47.3
2/09/2019;11.1;29.1
3/09/2019;24.6;64.3
4/09/2019;3.9;10.3
5/09/2019;3.8;10.1
6/09/2019;7.2;18.8
7/09/2019;3.8;10
8/09/2019;4.1;10.7
9/09/2019;4.6;12.1
10/09/2019;3.9;10.4
11/09/2019;11.7;30.5
12/09/2019;4.5;11.8
13/09/2019;3.9;10.2
14/09/2019;3.8;10.1
15/09/2019;45.8;120.1
16/09/2019;9.2;24
17/09/2019;14.6;38.2
18/09/2019;25.7;67.4
19/09/2019;100.3;262.8
20/09/2019;32.3;84.6
21/09/2019;17.2;45.1
22/09/2019;58.5;153.3
23/09/2019;68.9;180.6
24/09/2019;;
25/09/2019;;
26/09/2019;;
27/09/2019;23.5;61.6
28/09/2019;21.4;56
29/09/2019;21.7;56.8
30/09/2019;38.3;100.4
1/10/2019;9.9;25.9
2/10/2019;6.2;16.3
3/10/2019;12.8;33.5
4/10/2019;21.6;56.7
5/10/2019;20.6;54.1
6/10/2019;19.8;51.9
7/10/2019;6.1;15.9
8/10/2019;8.1;21.1
9/10/2019;12.7;33.2
10/10/2019;5.1;13.4
11/10/2019;5;13
12/10/2019;5;13.1
13/10/2019;5;13
14/10/2019;4.8;12.6
15/10/2019;4.7;12.3
16/10/2019;27.3;71.6
17/10/2019;29.9;78.3
18/10/2019;17.9;46.8
19/10/2019;17.9;46.9
20/10/2019;17.4;45.7
21/10/2019;30.6;80.2
22/10/2019;61.6;161.4
23/10/2019;63;165
24/10/2019;34.9;91.4
25/10/2019;23.8;62.4
26/10/2019;23;60.3
27/10/2019;36;94.2
28/10/2019;85.7;224.6
29/10/2019;17.7;46.4
30/10/2019;4.5;11.7
31/10/2019;16.1;42.1
1/11/2019;21.8;57.2
2/11/2019;8.2;21.4
3/11/2019;19.3;50.5
4/11/2019;21.5;56.3
5/11/2019;26.3;68.8
6/11/2019;47.8;125.3
7/11/2019;4.5;11.9
8/11/2019;22.3;58.3
9/11/2019;22.6;59.1
10/11/2019;12.9;33.9
11/11/2019;47.4;124.2
12/11/2019;62.8;164.6
13/11/2019;55.6;145.7
14/11/2019;18.4;48.3
15/11/2019;34.3;89.9
16/11/2019;36.7;96.3
17/11/2019;32.7;85.6
18/11/2019;35.3;92.5
19/11/2019;12.1;31.8
20/11/2019;8.5;22.2
21/11/2019;62;162.5
22/11/2019;103.2;270.4
23/11/2019;48.5;127.2
24/11/2019;5;13
25/11/2019;43.8;114.9
26/11/2019;21.8;57.1
27/11/2019;84.7;221.9
28/11/2019;22.4;58.8
29/11/2019;38;99.5
30/11/2019;20.4;53.4
1/12/2019;68.4;179.1
2/12/2019;43.7;114.5
3/12/2019;32.7;85.7
4/12/2019;16.6;43.4
5/12/2019;62.7;164.2
6/12/2019;23.3;61
7/12/2019;55.8;146.2
8/12/2019;10.8;28.4
9/12/2019;20.1;52.7
10/12/2019;;
11/12/2019;;
12/12/2019;;
13/12/2019;;
14/12/2019;55.5;145.5
15/12/2019;48.7;127.6
16/12/2019;68.4;179.3
17/12/2019;134.4;352.1
18/12/2019;41.5;108.8
19/12/2019;56.1;147
20/12/2019;34.7;90.9
21/12/2019;37.1;97.2
22/12/2019;92;241
23/12/2019;55.3;145
24/12/2019;6.9;18
25/12/2019;6.6;17.4
26/12/2019;26.6;69.6
27/12/2019;43.4;113.6
28/12/2019;36.3;95
29/12/2019;47.3;123.9
30/12/2019;21.4;56.1
31/12/2019;38.9;101.8
1/01/2020;30.4;79.7
2/01/2020;52.4;137.4
3/01/2020;60.4;158.4
4/01/2020;55.4;145.3
5/01/2020;42;110.2
6/01/2020;40.6;106.3
